gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000108176	NA	23	9.0	NA	NA
ENSG00000108179	NA	19	11.0	NA	NA
ENSG00000108187	NA	13	11.0	NA	NA
ENSG00000108219	NA	45	36.0	NA	NA
ENSG00000108231	NA	47	28.0	NA	NA
ENSG00000108256	NA	20	13.0	NA	NA
ENSG00000108262	NA	24	13.0	NA	NA
ENSG00000108264	NA	52	37.0	NA	NA
ENSG00000108270	NA	63	35.0	NA	NA
ENSG00000108272	NA	73	49.0	NA	NA
ENSG00000108278	NA	5	4.0	NA	NA
ENSG00000108294	NA	23	12.0	NA	NA
ENSG00000108296	NA	28	18.0	NA	NA
ENSG00000108298	NA	13	8.0	NA	NA
ENSG00000108306	NA	28	16.0	NA	NA
ENSG00000108309	NA	22	6.0	NA	NA
ENSG00000108344	NA	30	20.0	NA	NA
ENSG00000108349	NA	123	49.0	NA	NA
ENSG00000108352	NA	29	16.0	NA	NA
ENSG00000108370	NA	38	22.0	NA	NA
ENSG00000108379	NA	82	39.0	NA	NA
ENSG00000108381	NA	55	37.0	NA	NA
ENSG00000108384	NA	93	64.0	NA	NA
ENSG00000108389	NA	9	3.0	NA	NA
ENSG00000108395	NA	29	17.0	NA	NA
ENSG00000108405	NA	28	10.0	NA	NA
ENSG00000108406	NA	18	10.0	NA	NA
ENSG00000108423	NA	22	6.0	NA	NA
ENSG00000108424	NA	18	12.0	NA	NA
ENSG00000108433	NA	11	6.0	NA	NA
ENSG00000108439	NA	27	17.0	NA	NA
ENSG00000108443	NA	17	15.0	NA	NA
ENSG00000108448	NA	63	30.0	NA	NA
ENSG00000108465	NA	24	18.0	NA	NA
ENSG00000108468	NA	31	16.0	NA	NA
ENSG00000108469	NA	8	3.0	NA	NA
ENSG00000108474	NA	16	14.0	NA	NA
ENSG00000108479	NA	14	9.0	NA	NA
ENSG00000108506	NA	12	8.0	NA	NA
ENSG00000108510	NA	42	28.0	NA	NA
ENSG00000108515	NA	35	22.0	NA	NA
ENSG00000108518	NA	10	4.0	NA	NA
ENSG00000108523	NA	11	7.0	NA	NA
ENSG00000108528	NA	7	6.0	NA	NA
ENSG00000108556	NA	52	42.0	NA	NA
ENSG00000108559	NA	91	79.0	NA	NA
ENSG00000108561	NA	35	18.0	NA	NA
ENSG00000108578	NA	14	10.0	NA	NA
ENSG00000108582	NA	51	27.0	NA	NA
ENSG00000108587	NA	90	33.0	NA	NA
ENSG00000108588	NA	11	4.0	NA	NA
ENSG00000108590	NA	36	27.0	NA	NA
ENSG00000108591	NA	21	17.0	NA	NA
ENSG00000108592	NA	107	68.0	NA	NA
ENSG00000108602	NA	54	25.0	NA	NA
ENSG00000108604	NA	8	7.0	NA	NA
ENSG00000108639	NA	20	14.0	NA	NA
ENSG00000108641	NA	11	7.0	NA	NA
ENSG00000108651	NA	27	24.0	NA	NA
ENSG00000108666	NA	17	8.0	NA	NA
ENSG00000108669	NA	8	7.0	NA	NA
ENSG00000108786	NA	15	10.0	NA	NA
ENSG00000108797	NA	16	8.0	NA	NA
ENSG00000108823	NA	19	16.0	NA	NA
ENSG00000108825	NA	39	22.0	NA	NA
ENSG00000108826	NA	7	2.0	NA	NA
ENSG00000108829	NA	17	6.0	NA	NA
ENSG00000108830	NA	15	5.0	NA	NA
ENSG00000108839	NA	19	10.0	NA	NA
ENSG00000108846	NA	25	15.0	NA	NA
ENSG00000108852	NA	55	26.0	NA	NA
ENSG00000108861	NA	56	27.0	NA	NA
ENSG00000108883	NA	9	6.0	NA	NA
ENSG00000108924	NA	18	11.0	NA	NA
ENSG00000108932	NA	30	20.0	NA	NA
ENSG00000108946	NA	28	22.0	NA	NA
ENSG00000108947	NA	13	7.0	NA	NA
ENSG00000108953	NA	28	13.0	NA	NA
ENSG00000108960	NA	62	36.0	NA	NA
ENSG00000108961	NA	32	15.0	NA	NA
ENSG00000108963	NA	33	16.0	NA	NA
ENSG00000109016	NA	34	19.0	NA	NA
ENSG00000109046	NA	3	2.0	NA	NA
ENSG00000109047	NA	62	41.0	NA	NA
ENSG00000109063	NA	70	42.0	NA	NA
ENSG00000109065	NA	9	5.0	NA	NA
ENSG00000109072	NA	5	5.0	NA	NA
ENSG00000109079	NA	10	6.0	NA	NA
ENSG00000109083	NA	7	4.0	NA	NA
ENSG00000109084	NA	29	6.0	NA	NA
ENSG00000109099	NA	1	1.0	NA	NA
ENSG00000109107	NA	5	NA	NA	NA
ENSG00000109111	NA	8	7.0	NA	NA
ENSG00000109133	NA	16	9.0	NA	NA
ENSG00000109158	NA	19	5.0	NA	NA
ENSG00000109163	NA	57	50.0	NA	NA
ENSG00000109171	NA	14	7.0	NA	NA
ENSG00000109180	NA	25	10.0	NA	NA
ENSG00000109189	NA	41	17.0	NA	NA
ENSG00000109255	NA	5	5.0	NA	NA
ENSG00000109265	NA	42	27.0	NA	NA
ENSG00000109270	NA	53	41.0	NA	NA
ENSG00000109320	NA	11	7.0	NA	NA
ENSG00000109323	NA	45	35.0	NA	NA
ENSG00000109332	NA	46	35.0	NA	NA
ENSG00000109339	NA	28	14.0	NA	NA
ENSG00000109381	NA	6	6.0	NA	NA
ENSG00000109390	NA	34	9.0	NA	NA
ENSG00000109445	NA	6	6.0	NA	NA
ENSG00000109452	NA	20	12.0	NA	NA
ENSG00000109458	NA	39	16.0	NA	NA
ENSG00000109466	NA	40	17.0	NA	NA
ENSG00000109472	NA	40	38.0	NA	NA
ENSG00000109501	NA	21	17.0	NA	NA
ENSG00000109519	NA	27	16.0	NA	NA
ENSG00000109534	NA	19	17.0	NA	NA
ENSG00000109536	NA	26	22.0	NA	NA
ENSG00000109572	NA	46	30.0	NA	NA
ENSG00000109576	NA	33	24.0	NA	NA
ENSG00000109586	NA	44	25.0	NA	NA
ENSG00000109610	NA	40	35.0	NA	NA
ENSG00000109618	NA	46	30.0	NA	NA
ENSG00000109654	NA	58	38.0	NA	NA
ENSG00000109667	NA	33	20.0	NA	NA
ENSG00000109670	NA	26	18.0	NA	NA
ENSG00000109680	NA	30	19.0	NA	NA
ENSG00000109686	NA	18	15.0	NA	NA
ENSG00000109689	NA	48	34.0	NA	NA
ENSG00000109736	NA	64	24.0	NA	NA
ENSG00000109738	NA	55	29.0	NA	NA
ENSG00000109756	NA	11	6.0	NA	NA
ENSG00000109758	NA	14	12.0	NA	NA
ENSG00000109762	NA	29	17.0	NA	NA
ENSG00000109771	NA	62	45.0	NA	NA
ENSG00000109775	NA	129	98.0	NA	NA
ENSG00000109787	NA	9	8.0	NA	NA
ENSG00000109790	NA	33	13.0	NA	NA
ENSG00000109794	NA	82	61.0	NA	NA
ENSG00000109805	NA	3	2.0	NA	NA
ENSG00000109814	NA	35	20.0	NA	NA
ENSG00000109832	NA	16	15.0	NA	NA
ENSG00000109846	NA	3	NA	NA	NA
ENSG00000109854	NA	8	5.0	NA	NA
ENSG00000109861	NA	66	29.0	NA	NA
ENSG00000109881	NA	32	15.0	NA	NA
ENSG00000109917	NA	26	23.0	NA	NA
ENSG00000109919	NA	48	34.0	NA	NA
ENSG00000109920	NA	10	7.0	NA	NA
ENSG00000109927	NA	6	4.0	NA	NA
ENSG00000109929	NA	15	13.0	NA	NA
ENSG00000109944	NA	68	57.0	NA	NA
ENSG00000109956	NA	70	53.0	NA	NA
ENSG00000110002	NA	70	32.0	NA	NA
ENSG00000110011	NA	21	12.0	NA	NA
ENSG00000110025	NA	9	7.0	NA	NA
ENSG00000110031	NA	42	17.0	NA	NA
ENSG00000110042	NA	14	7.0	NA	NA
ENSG00000110047	NA	53	31.0	NA	NA
ENSG00000110048	NA	3	3.0	NA	NA
ENSG00000110060	NA	16	11.0	NA	NA
ENSG00000110074	NA	29	27.0	NA	NA
ENSG00000110075	NA	34	21.0	NA	NA
ENSG00000110076	NA	30	19.0	NA	NA
ENSG00000110079	NA	11	7.0	NA	NA
ENSG00000110080	NA	28	19.0	NA	NA
ENSG00000110090	NA	7	6.0	NA	NA
ENSG00000110092	NA	40	29.0	NA	NA
ENSG00000110104	NA	36	17.0	NA	NA
ENSG00000110107	NA	12	11.0	NA	NA
ENSG00000110108	NA	1	1.0	NA	NA
ENSG00000110148	NA	28	20.0	NA	NA
ENSG00000110169	NA	28	19.0	NA	NA
ENSG00000110171	NA	12	8.0	NA	NA
ENSG00000110172	NA	30	18.0	NA	NA
ENSG00000110200	NA	12	2.0	NA	NA
ENSG00000110218	NA	67	43.0	NA	NA
ENSG00000110237	NA	34	22.0	NA	NA
ENSG00000110274	NA	24	19.0	NA	NA
ENSG00000110315	NA	54	35.0	NA	NA
ENSG00000110318	NA	42	36.0	NA	NA
ENSG00000110321	NA	4	3.0	NA	NA
ENSG00000110324	NA	41	29.0	NA	NA
ENSG00000110328	NA	83	61.0	NA	NA
ENSG00000110330	NA	21	19.0	NA	NA
ENSG00000110367	NA	27	21.0	NA	NA
ENSG00000110395	NA	32	22.0	NA	NA
ENSG00000110400	NA	14	11.0	NA	NA
ENSG00000110422	NA	11	8.0	NA	NA
ENSG00000110427	NA	43	22.0	NA	NA
ENSG00000110429	NA	30	20.0	NA	NA
ENSG00000110435	NA	131	85.0	NA	NA
ENSG00000110442	NA	5	4.0	NA	NA
ENSG00000110446	NA	30	14.0	NA	NA
ENSG00000110448	NA	28	8.0	NA	NA
ENSG00000110455	NA	117	66.0	NA	NA
ENSG00000110492	NA	21	5.0	NA	NA
ENSG00000110514	NA	29	10.0	NA	NA
ENSG00000110536	NA	32	10.0	NA	NA
ENSG00000110619	NA	13	12.0	NA	NA
ENSG00000110628	NA	24	19.0	NA	NA
ENSG00000110651	NA	14	8.0	NA	NA
ENSG00000110660	NA	78	44.0	NA	NA
ENSG00000110665	NA	29	20.0	NA	NA
ENSG00000110675	NA	55	35.0	NA	NA
ENSG00000110696	NA	10	8.0	NA	NA
ENSG00000110700	NA	32	18.0	NA	NA
ENSG00000110717	NA	21	15.0	NA	NA
ENSG00000110723	NA	55	28.0	NA	NA
ENSG00000110756	NA	18	10.0	NA	NA
ENSG00000110768	NA	34	31.0	NA	NA
ENSG00000110801	NA	11	3.0	NA	NA
ENSG00000110811	NA	95	47.0	NA	NA
ENSG00000110841	NA	47	39.0	NA	NA
ENSG00000110848	NA	16	8.0	NA	NA
ENSG00000110851	NA	32	19.0	NA	NA
ENSG00000110871	NA	70	45.0	NA	NA
ENSG00000110876	NA	70	16.0	NA	NA
ENSG00000110880	NA	42	27.0	NA	NA
ENSG00000110881	NA	2	2.0	NA	NA
ENSG00000110888	NA	31	27.0	NA	NA
ENSG00000110900	NA	76	49.0	NA	NA
ENSG00000110906	NA	110	57.0	NA	NA
ENSG00000110917	NA	37	17.0	NA	NA
ENSG00000110921	NA	53	31.0	NA	NA
ENSG00000110931	NA	52	32.0	NA	NA
ENSG00000110944	NA	14	NA	NA	NA
ENSG00000110958	NA	10	10.0	NA	NA
ENSG00000110975	NA	94	39.0	NA	NA
ENSG00000110987	NA	17	10.0	NA	NA
ENSG00000111011	NA	24	12.0	NA	NA
ENSG00000111052	NA	60	38.0	NA	NA
ENSG00000111058	NA	60	39.0	NA	NA
ENSG00000111077	NA	29	14.0	NA	NA
ENSG00000111142	NA	4	3.0	NA	NA
ENSG00000111144	NA	20	16.0	NA	NA
ENSG00000111186	NA	45	28.0	NA	NA
ENSG00000111196	NA	56	31.0	NA	NA
ENSG00000111215	NA	40	26.0	NA	NA
ENSG00000111224	NA	49	42.0	NA	NA
ENSG00000111229	NA	33	9.0	NA	NA
ENSG00000111237	NA	15	11.0	NA	NA
ENSG00000111249	NA	22	6.0	NA	NA
ENSG00000111254	NA	61	42.0	NA	NA
ENSG00000111261	NA	10	8.0	NA	NA
ENSG00000111262	NA	35	21.0	NA	NA
ENSG00000111266	NA	8	7.0	NA	NA
ENSG00000111269	NA	69	36.0	NA	NA
ENSG00000111271	NA	29	19.0	NA	NA
ENSG00000111275	NA	16	11.0	NA	NA
ENSG00000111300	NA	35	7.0	NA	NA
ENSG00000111305	NA	22	15.0	NA	NA
ENSG00000111321	NA	23	13.0	NA	NA
ENSG00000111325	NA	3	3.0	NA	NA
ENSG00000111328	NA	25	16.0	NA	NA
ENSG00000111331	NA	87	52.0	NA	NA
ENSG00000111335	NA	24	11.0	NA	NA
ENSG00000111341	NA	21	8.0	NA	NA
ENSG00000111344	NA	12	7.0	NA	NA
ENSG00000111348	NA	8	6.0	NA	NA
ENSG00000111358	NA	19	11.0	NA	NA
ENSG00000111361	NA	45	25.0	NA	NA
ENSG00000111364	NA	53	38.0	NA	NA
ENSG00000111404	NA	51	26.0	NA	NA
ENSG00000111432	NA	25	17.0	NA	NA
ENSG00000111450	NA	49	35.0	NA	NA
ENSG00000111452	NA	77	46.0	NA	NA
ENSG00000111481	NA	11	11.0	NA	NA
ENSG00000111490	NA	75	34.0	NA	NA
ENSG00000111530	NA	50	28.0	NA	NA
ENSG00000111540	NA	22	8.0	NA	NA
ENSG00000111554	NA	9	8.0	NA	NA
ENSG00000111581	NA	48	16.0	NA	NA
ENSG00000111596	NA	4	4.0	NA	NA
ENSG00000111605	NA	4	3.0	NA	NA
ENSG00000111615	NA	15	14.0	NA	NA
ENSG00000111639	NA	43	30.0	NA	NA
ENSG00000111640	NA	7	6.0	NA	NA
ENSG00000111647	NA	32	22.0	NA	NA
ENSG00000111652	NA	27	16.0	NA	NA
ENSG00000111664	NA	62	42.0	NA	NA
ENSG00000111666	NA	107	57.0	NA	NA
ENSG00000111669	NA	11	10.0	NA	NA
ENSG00000111670	NA	57	31.0	NA	NA
ENSG00000111671	NA	48	41.0	NA	NA
ENSG00000111674	NA	4	4.0	NA	NA
ENSG00000111676	NA	3	2.0	NA	NA
ENSG00000111678	NA	50	27.0	NA	NA
ENSG00000111696	NA	97	73.0	NA	NA
ENSG00000111707	NA	43	34.0	NA	NA
ENSG00000111711	NA	21	14.0	NA	NA
ENSG00000111713	NA	67	61.0	NA	NA
ENSG00000111725	NA	8	7.0	NA	NA
ENSG00000111728	NA	69	40.0	NA	NA
ENSG00000111729	NA	46	23.0	NA	NA
ENSG00000111731	NA	48	28.0	NA	NA
ENSG00000111752	NA	17	12.0	NA	NA
ENSG00000111775	NA	35	24.0	NA	NA
ENSG00000111780	NA	29	22.0	NA	NA
ENSG00000111783	NA	22	15.0	NA	NA
ENSG00000111786	NA	25	21.0	NA	NA
ENSG00000111788	NA	37	28.0	NA	NA
ENSG00000111790	NA	25	16.0	NA	NA
ENSG00000111799	NA	90	53.0	NA	NA
ENSG00000111801	NA	66	27.0	NA	NA
ENSG00000111802	NA	79	41.0	NA	NA
ENSG00000111816	NA	58	41.0	NA	NA
ENSG00000111817	NA	42	25.0	NA	NA
ENSG00000111832	NA	72	32.0	NA	NA
ENSG00000111834	NA	30	8.0	NA	NA
ENSG00000111843	NA	153	74.0	NA	NA
ENSG00000111845	NA	84	45.0	NA	NA
ENSG00000111846	NA	13	8.0	NA	NA
ENSG00000111850	NA	93	50.0	NA	NA
ENSG00000111859	NA	15	13.0	NA	NA
ENSG00000111860	NA	23	13.0	NA	NA
ENSG00000111863	NA	53	35.0	NA	NA
ENSG00000111875	NA	58	26.0	NA	NA
ENSG00000111877	NA	50	34.0	NA	NA
ENSG00000111879	NA	61	41.0	NA	NA
ENSG00000111880	NA	15	6.0	NA	NA
ENSG00000111885	NA	19	15.0	NA	NA
ENSG00000111897	NA	6	3.0	NA	NA
ENSG00000111906	NA	125	74.0	NA	NA
ENSG00000111907	NA	45	34.0	NA	NA
ENSG00000111912	NA	35	19.0	NA	NA
ENSG00000111913	NA	49	33.0	NA	NA
ENSG00000111961	NA	58	33.0	NA	NA
ENSG00000111962	NA	165	78.0	NA	NA
ENSG00000112029	NA	27	20.0	NA	NA
ENSG00000112031	NA	68	46.0	NA	NA
ENSG00000112038	NA	9	7.0	NA	NA
ENSG00000112053	NA	96	48.0	NA	NA
ENSG00000112062	NA	16	13.0	NA	NA
ENSG00000112078	NA	35	26.0	NA	NA
ENSG00000112079	NA	6	3.0	NA	NA
ENSG00000112081	NA	1	NA	NA	NA
ENSG00000112096	NA	11	9.0	NA	NA
ENSG00000112110	NA	43	38.0	NA	NA
ENSG00000112118	NA	55	42.0	NA	NA
ENSG00000112130	NA	40	15.0	NA	NA
ENSG00000112137	NA	19	17.0	NA	NA
ENSG00000112139	NA	72	44.0	NA	NA
ENSG00000112144	NA	15	13.0	NA	NA
ENSG00000112146	NA	11	8.0	NA	NA
ENSG00000112149	NA	56	39.0	NA	NA
ENSG00000112159	NA	27	20.0	NA	NA
ENSG00000112167	NA	36	17.0	NA	NA
ENSG00000112186	NA	36	25.0	NA	NA
ENSG00000112210	NA	22	10.0	NA	NA
ENSG00000112214	NA	20	14.0	NA	NA
ENSG00000112218	NA	83	67.0	NA	NA
ENSG00000112304	NA	181	82.0	NA	NA
ENSG00000112305	NA	26	14.0	NA	NA
ENSG00000112306	NA	6	2.0	NA	NA
ENSG00000112308	NA	51	29.0	NA	NA
ENSG00000112309	NA	131	62.0	NA	NA
ENSG00000112319	NA	75	41.0	NA	NA
ENSG00000112339	NA	28	20.0	NA	NA
ENSG00000112357	NA	54	32.0	NA	NA
ENSG00000112367	NA	53	32.0	NA	NA
ENSG00000112378	NA	57	39.0	NA	NA
ENSG00000112379	NA	20	13.0	NA	NA
ENSG00000112394	NA	73	29.0	NA	NA
ENSG00000112414	NA	60	40.0	NA	NA
ENSG00000112419	NA	38	25.0	NA	NA
ENSG00000112425	NA	50	27.0	NA	NA
ENSG00000112473	NA	38	20.0	NA	NA
ENSG00000112514	NA	23	21.0	NA	NA
ENSG00000112739	NA	17	15.0	NA	NA
ENSG00000112742	NA	18	14.0	NA	NA
ENSG00000112759	NA	29	19.0	NA	NA
ENSG00000112761	NA	8	8.0	NA	NA
ENSG00000112763	NA	105	49.0	NA	NA
ENSG00000112769	NA	35	23.0	NA	NA
ENSG00000112773	NA	3	3.0	NA	NA
ENSG00000112782	NA	50	35.0	NA	NA
ENSG00000112787	NA	19	14.0	NA	NA
ENSG00000112796	NA	37	31.0	NA	NA
ENSG00000112799	NA	13	12.0	NA	NA
ENSG00000112812	NA	27	7.0	NA	NA
ENSG00000112851	NA	38	16.0	NA	NA
ENSG00000112852	NA	36	14.0	NA	NA
ENSG00000112855	NA	10	9.0	NA	NA
ENSG00000112874	NA	29	18.0	NA	NA
ENSG00000112877	NA	52	27.0	NA	NA
ENSG00000112893	NA	43	23.0	NA	NA
ENSG00000113070	NA	12	5.0	NA	NA
ENSG00000113073	NA	14	9.0	NA	NA
ENSG00000113083	NA	56	20.0	NA	NA
ENSG00000113100	NA	48	25.0	NA	NA
ENSG00000113108	NA	35	11.0	NA	NA
ENSG00000113119	NA	17	10.0	NA	NA
ENSG00000113140	NA	47	30.0	NA	NA
ENSG00000113141	NA	58	18.0	NA	NA
ENSG00000113161	NA	9	6.0	NA	NA
ENSG00000113205	NA	18	13.0	NA	NA
ENSG00000113209	NA	21	15.0	NA	NA
ENSG00000113211	NA	43	19.0	NA	NA
ENSG00000113212	NA	42	24.0	NA	NA
ENSG00000113231	NA	32	26.0	NA	NA
ENSG00000113240	NA	6	6.0	NA	NA
ENSG00000113248	NA	37	23.0	NA	NA
ENSG00000113249	NA	23	20.0	NA	NA
ENSG00000113263	NA	36	17.0	NA	NA
ENSG00000113269	NA	51	34.0	NA	NA
ENSG00000113272	NA	34	19.0	NA	NA
ENSG00000113273	NA	51	37.0	NA	NA
ENSG00000113282	NA	2	2.0	NA	NA
ENSG00000113296	NA	56	32.0	NA	NA
ENSG00000113300	NA	30	18.0	NA	NA
ENSG00000113312	NA	10	3.0	NA	NA
ENSG00000113318	NA	69	47.0	NA	NA
ENSG00000113319	NA	62	33.0	NA	NA
ENSG00000113327	NA	20	14.0	NA	NA
ENSG00000113328	NA	15	15.0	NA	NA
ENSG00000113356	NA	39	24.0	NA	NA
ENSG00000113360	NA	9	6.0	NA	NA
ENSG00000113361	NA	20	13.0	NA	NA
ENSG00000113384	NA	10	5.0	NA	NA
ENSG00000113387	NA	5	3.0	NA	NA
ENSG00000113389	NA	21	13.0	NA	NA
ENSG00000113391	NA	11	7.0	NA	NA
ENSG00000113396	NA	56	32.0	NA	NA
ENSG00000113407	NA	28	22.0	NA	NA
ENSG00000113441	NA	79	34.0	NA	NA
ENSG00000113643	NA	26	20.0	NA	NA
ENSG00000113645	NA	6	6.0	NA	NA
ENSG00000113648	NA	48	30.0	NA	NA
ENSG00000113649	NA	10	10.0	NA	NA
ENSG00000113657	NA	24	11.0	NA	NA
ENSG00000113658	NA	12	10.0	NA	NA
ENSG00000113716	NA	33	22.0	NA	NA
ENSG00000113719	NA	17	6.0	NA	NA
ENSG00000113722	NA	12	11.0	NA	NA
ENSG00000113734	NA	63	42.0	NA	NA
ENSG00000113742	NA	37	37.0	NA	NA
ENSG00000113763	NA	36	19.0	NA	NA
ENSG00000113790	NA	3	2.0	NA	NA
ENSG00000113805	NA	35	32.0	NA	NA
ENSG00000113810	NA	38	20.0	NA	NA
ENSG00000113812	NA	110	55.0	NA	NA
ENSG00000113845	NA	57	37.0	NA	NA
ENSG00000113851	NA	58	39.0	NA	NA
ENSG00000113889	NA	26	22.0	NA	NA
ENSG00000113946	NA	51	38.0	NA	NA
ENSG00000113966	NA	54	12.0	NA	NA
ENSG00000113971	NA	77	45.0	NA	NA
ENSG00000114021	NA	62	38.0	NA	NA
ENSG00000114023	NA	66	49.0	NA	NA
ENSG00000114030	NA	15	13.0	NA	NA
ENSG00000114054	NA	79	35.0	NA	NA
ENSG00000114098	NA	24	11.0	NA	NA
ENSG00000114107	NA	48	21.0	NA	NA
ENSG00000114115	NA	66	60.0	NA	NA
ENSG00000114120	NA	23	20.0	NA	NA
ENSG00000114125	NA	35	23.0	NA	NA
ENSG00000114126	NA	11	6.0	NA	NA
ENSG00000114127	NA	7	6.0	NA	NA
ENSG00000114166	NA	30	23.0	NA	NA
ENSG00000114200	NA	29	19.0	NA	NA
ENSG00000114204	NA	40	25.0	NA	NA
ENSG00000114209	NA	7	3.0	NA	NA
ENSG00000114251	NA	44	30.0	NA	NA
ENSG00000114268	NA	10	4.0	NA	NA
ENSG00000114388	NA	14	9.0	NA	NA
ENSG00000114405	NA	34	10.0	NA	NA
ENSG00000114416	NA	15	12.0	NA	NA
ENSG00000114423	NA	28	21.0	NA	NA
ENSG00000114439	NA	22	17.0	NA	NA
ENSG00000114446	NA	101	93.0	NA	NA
ENSG00000114450	NA	10	10.0	NA	NA
ENSG00000114473	NA	42	28.0	NA	NA
ENSG00000114480	NA	36	18.0	NA	NA
ENSG00000114491	NA	17	11.0	NA	NA
ENSG00000114503	NA	51	26.0	NA	NA
ENSG00000114520	NA	32	29.0	NA	NA
ENSG00000114529	NA	56	44.0	NA	NA
ENSG00000114544	NA	18	15.0	NA	NA
ENSG00000114547	NA	44	35.0	NA	NA
ENSG00000114554	NA	44	30.0	NA	NA
ENSG00000114631	NA	9	8.0	NA	NA
ENSG00000114646	NA	29	15.0	NA	NA
ENSG00000114648	NA	26	9.0	NA	NA
ENSG00000114650	NA	52	27.0	NA	NA
ENSG00000114654	NA	24	16.0	NA	NA
ENSG00000114656	NA	49	30.0	NA	NA
ENSG00000114670	NA	108	41.0	NA	NA
ENSG00000114686	NA	19	16.0	NA	NA
ENSG00000114698	NA	34	28.0	NA	NA
ENSG00000114735	NA	104	53.0	NA	NA
ENSG00000114738	NA	33	14.0	NA	NA
ENSG00000114739	NA	12	11.0	NA	NA
ENSG00000114742	NA	3	3.0	NA	NA
ENSG00000114744	NA	24	22.0	NA	NA
ENSG00000114745	NA	21	12.0	NA	NA
ENSG00000114757	NA	53	23.0	NA	NA
ENSG00000114767	NA	11	8.0	NA	NA
ENSG00000114770	NA	12	10.0	NA	NA
ENSG00000114779	NA	17	3.0	NA	NA
ENSG00000114784	NA	27	20.0	NA	NA
ENSG00000114790	NA	69	49.0	NA	NA
ENSG00000114796	NA	70	48.0	NA	NA
ENSG00000114805	NA	61	36.0	NA	NA
ENSG00000114812	NA	36	30.0	NA	NA
ENSG00000114841	NA	18	11.0	NA	NA
ENSG00000114850	NA	10	8.0	NA	NA
ENSG00000114853	NA	8	8.0	NA	NA
ENSG00000114857	NA	18	10.0	NA	NA
ENSG00000114859	NA	22	17.0	NA	NA
ENSG00000114902	NA	4	3.0	NA	NA
ENSG00000114904	NA	79	46.0	NA	NA
ENSG00000114923	NA	22	12.0	NA	NA
ENSG00000114933	NA	20	13.0	NA	NA
ENSG00000114948	NA	21	12.0	NA	NA
ENSG00000114978	NA	23	14.0	NA	NA
ENSG00000114982	NA	11	5.0	NA	NA
ENSG00000114988	NA	15	7.0	NA	NA
ENSG00000114993	NA	35	14.0	NA	NA
ENSG00000114999	NA	65	34.0	NA	NA
ENSG00000115008	NA	14	13.0	NA	NA
ENSG00000115041	NA	19	13.0	NA	NA
ENSG00000115053	NA	5	4.0	NA	NA
ENSG00000115073	NA	21	11.0	NA	NA
ENSG00000115084	NA	48	30.0	NA	NA
ENSG00000115085	NA	9	5.0	NA	NA
ENSG00000115091	NA	66	45.0	NA	NA
ENSG00000115107	NA	29	18.0	NA	NA
ENSG00000115109	NA	24	12.0	NA	NA
ENSG00000115112	NA	17	9.0	NA	NA
ENSG00000115129	NA	57	32.0	NA	NA
ENSG00000115137	NA	52	31.0	NA	NA
ENSG00000115138	NA	53	25.0	NA	NA
ENSG00000115145	NA	44	35.0	NA	NA
ENSG00000115155	NA	11	10.0	NA	NA
ENSG00000115183	NA	41	36.0	NA	NA
ENSG00000115194	NA	7	5.0	NA	NA
ENSG00000115207	NA	26	8.0	NA	NA
ENSG00000115211	NA	31	16.0	NA	NA
ENSG00000115221	NA	13	11.0	NA	NA
ENSG00000115226	NA	15	8.0	NA	NA
ENSG00000115232	NA	57	31.0	NA	NA
ENSG00000115234	NA	13	8.0	NA	NA
ENSG00000115239	NA	35	21.0	NA	NA
ENSG00000115252	NA	82	43.0	NA	NA
ENSG00000115267	NA	23	7.0	NA	NA
ENSG00000115268	NA	9	4.0	NA	NA
ENSG00000115271	NA	14	5.0	NA	NA
ENSG00000115274	NA	5	4.0	NA	NA
ENSG00000115275	NA	18	8.0	NA	NA
ENSG00000115286	NA	6	4.0	NA	NA
ENSG00000115290	NA	3	3.0	NA	NA
ENSG00000115306	NA	18	13.0	NA	NA
ENSG00000115307	NA	55	33.0	NA	NA
ENSG00000115310	NA	30	19.0	NA	NA
ENSG00000115318	NA	35	13.0	NA	NA
ENSG00000115325	NA	10	3.0	NA	NA
ENSG00000115339	NA	24	14.0	NA	NA
ENSG00000115350	NA	11	7.0	NA	NA
ENSG00000115353	NA	30	15.0	NA	NA
ENSG00000115355	NA	20	17.0	NA	NA
ENSG00000115361	NA	48	26.0	NA	NA
ENSG00000115364	NA	28	18.0	NA	NA
ENSG00000115365	NA	52	33.0	NA	NA
ENSG00000115368	NA	43	33.0	NA	NA
ENSG00000115380	NA	81	50.0	NA	NA
ENSG00000115392	NA	20	13.0	NA	NA
ENSG00000115414	NA	29	23.0	NA	NA
ENSG00000115415	NA	6	6.0	NA	NA
ENSG00000115419	NA	18	10.0	NA	NA
ENSG00000115423	NA	84	43.0	NA	NA
ENSG00000115425	NA	16	8.0	NA	NA
ENSG00000115446	NA	11	7.0	NA	NA
ENSG00000115457	NA	29	17.0	NA	NA
ENSG00000115459	NA	8	8.0	NA	NA
ENSG00000115468	NA	39	23.0	NA	NA
ENSG00000115486	NA	35	17.0	NA	NA
ENSG00000115514	NA	15	14.0	NA	NA
ENSG00000115520	NA	5	3.0	NA	NA
ENSG00000115523	NA	22	21.0	NA	NA
ENSG00000115524	NA	36	33.0	NA	NA
ENSG00000115525	NA	39	13.0	NA	NA
