gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000183763	ENSG00000183763	4	4.0	0.00926102439885413	0.0378335257827553
ENSG00000183773	ENSG00000183773	1	1.0	0.0211018828673497	0.00166593649273881
ENSG00000183775	ENSG00000183775	1	1.0	0.0241769046807259	0.000757037827868729
ENSG00000183778	ENSG00000183778	15	12.0	0.0859921241679149	1.07697412268365e-10
ENSG00000183779	ENSG00000183779	1	1.0	0.0116421574572362	0.0198185613483089
ENSG00000183780	ENSG00000183780	32	30.0	0.0118612716988868	0.0186869784589242
ENSG00000183783	ENSG00000183783	12	12.0	0.0168299513384714	0.00503426736362169
ENSG00000183798	ENSG00000183798	1	1.0	0.0216070099166074	0.00146299074943371
ENSG00000183807	ENSG00000183807	16	16.0	0.0525646080497782	5.65175946639538e-07
ENSG00000183808	ENSG00000183808	1	NA	0.0184409667503194	0.00331180027385134
ENSG00000183814	ENSG00000183814	1	1.0	0.033776787088256	6.58640080337386e-05
ENSG00000183828	ENSG00000183828	17	16.0	0.155380820522329	8.97758448684037e-19
ENSG00000183831	ENSG00000183831	29	25.0	0.0784338463862034	7.60346020620681e-10
ENSG00000183850	ENSG00000183850	39	34.0	0.255304931696446	1.44959595924524e-31
ENSG00000183873	ENSG00000183873	4	4.0	0.0151550039897092	0.00780304370839444
ENSG00000183888	ENSG00000183888	34	26.0	0.0328496974642395	8.33128638603131e-05
ENSG00000183891	ENSG00000183891	59	58.0	0.212393973751387	7.00133704090447e-26
ENSG00000183908	ENSG00000183908	20	15.0	0.0234859611160864	0.000903462580669869
ENSG00000183914	ENSG00000183914	26	23.0	0.0336164285907336	6.85960255721548e-05
ENSG00000183960	ENSG00000183960	2	2.0	0.0475859678193702	1.99665931392588e-06
ENSG00000183963	ENSG00000183963	41	38.0	0.0718553240204261	4.1281174161965e-09
ENSG00000184007	ENSG00000184007	43	41.0	0.0167640374320769	0.00512154049854455
ENSG00000184009	ENSG00000184009	7	6.0	0.030550684684273	0.000149293089668385
ENSG00000184014	ENSG00000184014	13	13.0	0.0409360631156417	1.07502831741465e-05
ENSG00000184056	ENSG00000184056	24	24.0	0.09787183712622	4.8657121514425496e-12
ENSG00000184060	ENSG00000184060	1	1.0	0.0238258732567972	0.000828171827627163
ENSG00000184068	ENSG00000184068	12	11.0	0.0282591531651387	0.000267282353462694
ENSG00000184110	ENSG00000184110	34	31.0	0.0499396164392672	1.09974705473635e-06
ENSG00000184117	ENSG00000184117	16	15.0	0.118263928214485	2.2074284268563e-14
ENSG00000184144	ENSG00000184144	6	5.0	0.00853909008908477	0.0461840525271297
ENSG00000184154	ENSG00000184154	1	1.0	0.00989029435643592	0.0318420976342218
ENSG00000184156	ENSG00000184156	41	37.0	0.0195852696584573	0.00246301410922616
ENSG00000184160	ENSG00000184160	24	20.0	0.0244543756521355	0.000705186348102127
ENSG00000184162	ENSG00000184162	32	30.0	0.00919178253458424	0.0385611167228101
ENSG00000184164	ENSG00000184164	1	1.0	0.0146802581544518	0.00884058543413611
ENSG00000184178	ENSG00000184178	1	1.0	0.0140189542485334	0.0105251852268967
ENSG00000184182	ENSG00000184182	8	7.0	0.0185162399522234	0.00324781275571516
ENSG00000184203	ENSG00000184203	4	3.0	0.0124527766630975	0.0159524214172874
ENSG00000184206	ENSG00000184206	27	22.0	0.0748144397262333	1.93062817493483e-09
ENSG00000184207	ENSG00000184207	2	2.0	0.0254366381311681	0.00054869096780461
ENSG00000184208	ENSG00000184208	1	NA	0.0257695660684502	0.000503995518131315
ENSG00000184209	ENSG00000184209	3	3.0	0.0312691098168095	0.000124404750827657
ENSG00000184226	ENSG00000184226	1	1.0	0.0111427193251296	0.0226695781304255
ENSG00000184227	ENSG00000184227	60	53.0	0.50727307527568	2.50949269843183e-73
ENSG00000184232	ENSG00000184232	48	45.0	0.171903749480866	8.73322724110889e-21
ENSG00000184254	ENSG00000184254	27	27.0	0.112010935556811	1.16757595918313e-13
ENSG00000184260	ENSG00000184260	1	NA	0.0264812028442814	0.000420344317041885
ENSG00000184271	ENSG00000184271	24	21.0	0.0301114385355233	0.000166910884302404
ENSG00000184277	ENSG00000184277	14	12.0	0.0883354037354236	5.86114066194383e-11
ENSG00000184304	ENSG00000184304	1	1.0	0.00996776503886277	0.0311759817351557
ENSG00000184313	ENSG00000184313	25	24.0	0.1635762476467	9.117167731747151e-20
ENSG00000184319	ENSG00000184319	1	1.0	0.0227398183972278	0.0010938154147577
